setup,year,groupSize,noLinks,groupID,dist_mean,dist_max,shape,gIDpy,SEED,ROOTING,RESOURCES,GRAFTING
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,19,25,gID_1,4.69976767077502,7.74598999862747,1.38888888888889,gID_8,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333,2,1,gID_3,5.81672673625023,5.81672673625023,1,gID_4,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333,9,12,gID_4,2.96979545414803,5.20362212422917,1.5,gID_8,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333,14,14,gID_1,4.42168431616741,7.80598481377203,1.07692307692308,gID_11,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333,15,18,gID_2,4.76882800018847,7.8413445437847,1.28571428571429,gID_13,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333,16,16,gID_5,1.29171833101676,2.07028337449676,1.06666666666667,gID_50,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600,45,65,gID_1,4.27169951969271,7.29401371476723,1.47727272727273,gID_33,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333,2,1,gID_1,3.84867758666539,3.84867758666539,1,gID_1,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333,2,1,gID_6,2.24047931810917,2.24047931810917,1,gID_20,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333,3,2,gID_4,4.58021064982425,4.90550788288932,1,gID_11,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333,3,2,gID_5,5.20320969239154,5.87537644861472,1,gID_13,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333,3,2,gID_7,1.75720291550133,2.12572850659446,1,gID_33,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333,4,3,gID_3,3.86161913538049,5.24105623404611,1,gID_4,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333,7,6,gID_2,3.84187639947008,5.34478664949954,1,gID_8,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333,2,1,gID_10,0.64765445761865,0.64765445761865,1,gID_52,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333,2,1,gID_3,5.30822545175564,5.30822545175564,1,gID_11,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333,2,1,gID_4,4.87476084990762,4.87476084990762,1,gID_15,18782,1,0,1
setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333,2,1,gID_5,4.02629195340802,4.02629195340802,1,gID_20,18782,1,0,1
